Feature1,Feature2,Feature3,Feature4,CardType_Elite,CardType_Platinum,CardType_Smart Cash,CardType_True Line,CardType_True Line Gold,score,Month
1.0022568888888888,0.001270909,-50.78,25.78,0,1.0,0.0,0,0,0.3862,2/28/2019
0.064781111,1.0,25250.91,36.98,0,0.0,0.0,0,1,0.037,2/28/2019
0.9483137931034484,1.0,449.6700000000001,166.01,0,1.0,0.0,0,0,0.7448,2/28/2019
0.1376777142857143,1.0,30181.28,0.0,1,0.0,0.0,0,0,0.0207,2/28/2019
0.246897619047619,1.0,3163.03,17.3,0,0.0,0.0,0,1,0.4088,2/28/2019
0.6326745,1.0,7346.51,220.97,1,0.0,0.0,0,0,0.6746,2/28/2019
0.023346667,1.0,11719.84,0.09,1,0.0,0.0,0,0,0.0597,2/28/2019
0.043585263,1.0,9085.94,0.0,0,0.0,0.0,1,0,0.1319,2/28/2019
0.305703,0.2805631609765033,6942.9699999999975,18.15,1,0.0,0.0,0,0,0.2414,2/28/2019
0.015456,1.0,9845.44,23.85,0,1.0,0.0,0,0,0.0518,2/28/2019
0.075865,1.0,9241.35,0.0,0,1.0,0.0,0,0,0.2347,2/28/2019
0.143455294117647,1.0,7280.63,0.79,1,0.0,0.0,0,0,0.2156,2/28/2019
0.0,,,0.0,1,0.0,0.0,0,0,0.1133,2/28/2019
0.2026828571428571,1.0,,0.0,0,0.0,0.0,1,0,0.2999,2/28/2019
0.043504286,1.0,,0.0,0,1.0,0.0,0,0,0.2093,2/28/2019
0.7340624,1.0,,385.76,0,0.0,0.0,0,1,0.7073,2/28/2019
0.535309,1.0,4646.91,31.51,0,1.0,0.0,0,0,0.6858,2/28/2019
0.7199000000000001,0.0,4789.709999999999,11.13,0,0.0,0.0,1,0,0.0402,2/28/2019
0.2624946666666666,0.0,11062.58,0.0,0,0.0,0.0,1,0,0.0311,2/28/2019
0.000415385,1.0,2598.92,1.08,0,0.0,1.0,0,0,0.0392,2/28/2019
1.06004,,,,0,0.0,0.0,1,0,0.7893,2/28/2019
0.0221171428571428,,,,0,0.0,0.0,1,0,0.121,2/28/2019
0.98898,,,,1,0.0,0.0,0,0,0.8349,2/28/2019
